,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
,"$739,888",5,5,3811,576 Via di Parione Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,7,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Tile","Blinds, Drapes, Low Emissivity Windows, Plantation Shutters","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Full"
,"$1,099,999",5,4,5177,5965 S Bronco St,RESALE,"Composition, Pitched, Shingle",Single Family Residence,Yes,Septic Tank,702-916-3512,6,,"Central Air, Electric, 2 Units",,"Carpet, Tile",,"Attached, Detached, Garage","Covered, Deck, Patio, Porch","Central, Electric, Multiple Heating Units","Block, Partial"
,"$1,200,000",6,4,3854,3337 Smoke Tree Ln,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-465-8842,7,"eatures: Gas, Kitchen","Central Air, Electric, 2 Units",,"Ceramic Tile, Tile","Double Pane Windows, Insulated Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Open, RV Gated, RV Access/Parking, Guest",Deck,"Central, Gas, Multiple Heating Units","Block, Partial, Wood"
,"$2,200,000",3,4,3100,9101 Alta Dr Unit 204,RESALE,,,,,702-219-2585,4,"eatures: Gas, Great Room",Electric,2758,"Carpet, Hardwood","Low Emissivity Windows, Window Treatments","Garage, Private, Valet, Guest",Terrace,Gas,
,"$765,000",3,3,2663,7629 Delaware Bay Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-453-8000,4,"eatures: Bedroom, Family Room, Gas","Central Air, Electric, 2 Units",100,"Carpet, Laminate, Tile","Blinds, Plantation Shutters","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Full"
,"$849,999",2,2,1657,322 Karen Ave Unit 708,RESALE,,,,,702-362-8700,3,,"Electric, 1 Unit", Frequency: Monthly,"Concrete, Hardwood",Tinted Windows,"Assigned, Covered, Guest",Terrace,"Central, Electric, Individual",
,"$700,000",2,3,2189,11821 Weybrook Park Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-929-2020,2,"eatures: Gas, Great Room, Primary Bedroom, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Laminate, Marble","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$700,000",4,5,3971,10176 Cascadia Creek St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-905-1110,4,"eatures: Electric, Family Room","Central Air, Electric",32,"Carpet, Linoleum, Vinyl","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas","Block, Back Yard"
,"$1,100,000",4,4,3805,760 Step Beach St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,bking@kingvegashomes.com,5,"eatures: Family Room, Gas","Central Air, Electric, ENERGY STAR Qualified Equipment, 2 Units", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Garage, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,222,000",2,3,2094,3750 S Las Vegas Blvd Unit 2609,RESALE,,,,,702-360-1414,2,,Electric,2573,,"Tinted Windows, Window Treatments",,,"Central, Electric",
,"$749,000",3,5,2862,7500 Orange Haze Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-321-1763,3,"eatures: Bedroom, Family Room, Multi-Sided","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Marble",,"Attached, Garage, Inside Entrance","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Back Yard, Wrought Iron"
,"$1,649,000",4,5,4778,9736 Verlaine Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-545-6050,7,"eatures: Family Room, Gas, Glass Doors, Living Room, Primary Bedroom, Wood Burning","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Marble, Tile","Blinds, Double Pane Windows, Plantation Shutters","Attached, Finished Garage, Garage, Private, RV Paved, Storage, Workshop in Garage",Patio,"Central, Gas, Multiple Heating Units","Electric, Full, Stucco Wall, Wrought Iron"
,"$950,000",3,4,3343,6770 Royal Stallion Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-996-3030,5,"eatures: Gas, Great Room, Multi-Sided","Central Air, Electric, 2 Units",90,"Carpet, Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Detached, Garage, Guest, Inside Entrance, Open, Private, RV Garage, RV Hook-Ups, RV Gated, RV Access/Parking, Storage","Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Full, RV Gate"
,"$820,000",3,4,2862,7644 Painted Dunes Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,joshsellslasvegas@gmail.com,3,"eatures: Family Room, Gas, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Tile, Vinyl",Blinds,"Attached, Garage",,"Central, Gas",Back Yard
,"$715,000",3,3,2647,7440 Mountainboro Ln,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-849-9894,4,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric",,"Carpet, Tile","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Inside Entrance",,"Central, Gas","Block, Back Yard"
,"$1,950,000",6,5,4969,803 Lake Hill Dr,RESALE,"Pitched, Tile",Single Family Residence,,Public Sewer,702-360-1414,8,"eatures: Gas, Great Room","Central Air, Electric, Refrigerated, 2 Units",33,"Carpet, Ceramic Tile",Double Pane Windows,"Air Conditioned Garage, Finished Garage, Golf Cart Garage, Garage Door Opener, RV Garage, RV Access/Parking","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units, Zoned","Back Yard, Wrought Iron"
,"$1,099,000",4,3,3014,2937 Harbor Cove Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 406-8730,4,"eatures: Family Room, Glass Doors, Living Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance",,"Central, Gas","Block, Back Yard, Wrought Iron"
,"$795,000",3,3,3155,11324 Buena Sera St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,4,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",90,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$749,000",2,2,2176,3033 Highland Falls Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(775) 350-0192,2,,"Central Air, Electric",165,"Carpet, Laminate, Tile",Blinds,"Attached, Garage",Patio,"Central, Gas",None
,"$779,999",5,3,3758,8616 Canyon Ranch St,RESALE,Slate,Single Family Residence,Yes,Public Sewer,702-877-2500,6,,"Central Air, Electric, 2 Units",45,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Epoxy Flooring, Finished Garage, Garage",,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$735,000",4,4,3280,6380 Guy Summit Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-233-4663,6,,"Central Air, Electric, 2 Units",68,"Carpet, Other","Double Pane Windows, Drapes","Attached, Garage","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,650,000",2,3,1434,3722 Las Vegas Blvd S Unit 1808,RESALE,,,,,Dylan@LuxuryEstates.com,2,,"Electric, High Efficiency",1335,,Low Emissivity Windows,Guest,,"Electric, High Efficiency",
,"$1,199,999",4,4,3309,6197 Jewel Vista St,RESALE,"Flat, Other",Single Family Residence,Yes,Public Sewer,702-583-3343,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$6,499,000",5,6,6414,34 Sun Glow Ln,RESALE,Flat,Single Family Residence,Yes,Public Sewer,(702) 523-3677,6,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble","Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard, Wrought Iron"
,"$1,499,000",4,4,3381,11828 Waterford Castle Ct Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-782-8461,4,"eatures: Family Room, Gas, Outside","Central Air, Electric", Frequency: Monthly,"Carpet, Tile",,"Attached, Garage","Covered, Patio","Central, Gas","Back Yard, Wrought Iron"
,"$875,000",3,2,2622,7756 Wishing Well Rd,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-823-2300,3,"eatures: Gas, Living Room","Electric, High Efficiency",,"Carpet, Ceramic Tile, Hardwood",,"Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener","Covered, Patio","Central, Gas, High Efficiency","Block, Back Yard"
,"$839,000",5,5,4192,10056 Golden Bluff Ave Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-985-5739,7,"eatures: Electric, Living Room","Central Air, Electric",45,Marble,"Blinds, Double Pane Windows","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Brick, Back Yard"
,"$845,000",4,3,2835,212 Uccello Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-349-0598,5,"eatures: Gas, Glass Doors, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Hardwood, Marble","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Shelves, Tandem","Balcony, Covered, Deck, Enclosed, Patio","Central, Gas","Block, Back Yard"
,"$3,195,000",3,6,4903,1 Hughes Center Dr Unit 1003,RESALE,,,,,jerrymasini@gmail.com,4,"eatures: Gas, Living Room, Outside","Electric, 1 Unit", Frequency: Monthly,"Carpet, Marble","Drapes, Window Treatments","Assigned, Covered, Indoor, One Space, Valet",Terrace,"Central, Electric",
,"$2,788,000",5,6,6979,40 Gulf Stream Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,jerrymasini@gmail.com,6,"eatures: Family Room, Gas, Living Room, Primary Bedroom","Central Air, Electric, Refrigerated, 2 Units", Frequency: Monthly,"Carpet, Marble","Double Pane Windows, Drapes, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Electric, Gas, Multiple Heating Units","Full, Stucco Wall, Wrought Iron"
,"$1,799,999",5,6,4233,446 Bosco di Fiore St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-834-3200,6,"eatures: Gas, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Insulated Windows, Low Emissivity Windows, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio, Porch","Central, Electric, Gas, Multiple Heating Units, Zoned","Block, Full, Wrought Iron"
,"$840,000",4,3,2760,2104 Springstead St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-239-8400,5,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Carpet, Laminate","Double Pane Windows, Plantation Shutters, Skylight(s), Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$710,000",5,3,2771,636 Joe Willis St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-417-3159,5,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Carpet, Concrete, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener",,"Central, Gas","Block, Back Yard"
,"$769,000",5,4,3986,8097 Cape Flattery Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-940-9600,7,,"Central Air, Electric",87,"Carpet, Ceramic Tile",Blinds,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,849,950",5,6,4815,7187 Messara Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 429-4294,6,"eatures: Gas, Great Room","Central Air, Electric, 2 Units",84,"Carpet, Hardwood, Tile","Drapes, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance, RV Access/Parking","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,200,000",4,3,3983,2061 Palm Canyon Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-685-3000,5,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, 2 Units",,Laminate,"Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking, RV Paved","Covered, Deck, Patio, Rooftop","Central, Gas, Multiple Heating Units","Back Yard, Stucco Wall"
,"$1,058,000",4,5,3168,11849 Albissola Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-907-1101,5,,"Central Air, Electric", Frequency: Monthly,Ceramic Tile,Low Emissivity Windows,"Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Full"
,"$734,000",4,3,2994,2940 Bel Air Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-506-7100,5,"eatures: Gas, Great Room, Wood Burning","Central Air, Electric", Frequency: Monthly,"Carpet, Laminate, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Golf Cart Garage, Garage Door Opener","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Back Yard, Stucco Wall, Wrought Iron"
,"$769,000",5,5,3602,1022 Whitworth Ave,RESALE,Tile,Single Family Residence,,Public Sewer,702-368-6883,7,,"Central Air, Electric",155,"Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Full"
,"$725,000",2,3,3200,884 Vegas Valley Dr,RESALE,"Mansard, Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-506-7100,3,"eatures: Electric, Glass Doors, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,Laminate,"Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Golf Cart Garage, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard"
,"$899,900",4,3,3084,7146 Palmyra Ave,RESALE,"Asphalt, Pitched",Single Family Residence,Yes,Septic Tank,thesaabsquad@gmail.com,5,"eatures: Great Room, Wood Burning","Central Air, Electric, 2 Units",,"Carpet, Ceramic Tile, Hardwood","Low Emissivity Windows, Triple Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, RV Hook-Ups, RV Gated, RV Access/Parking, RV Paved, Storage","Covered, Patio, Porch","Central, Electric","Block, Back Yard, RV Gate"
,"$749,999",4,3,2968,413 Park Way E,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-205-6099,5,,"Central Air, Electric",,"Ceramic Tile, Marble, Tile",Tinted Windows,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$975,000",6,4,4416,7271 Fruitful Harvest Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-595-5502,7,"eatures: Gas, Primary Bedroom","Central Air, Electric, 2 Units",110,"Carpet, Tile","Blinds, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard, Stucco Wall"
,"$1,450,000",2,3,1962,4471 Dean Martin Dr Unit 2810,RESALE,,,,,june.stark@gmail.com,2,,"Electric, High Efficiency, 1 Unit",1380,,Tinted Windows,"Assigned, One Space, Valet, Guest",Terrace,"Central, Electric, High Efficiency",
,"$1,899,000",4,5,4777,805 Petit Chalet Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-292-6788,5,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units",321,"Carpet, Marble, Tile","Double Pane Windows, Drapes, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard, Stucco Wall, Wrought Iron"
,"$8,500,000",3,4,3980,3750 S Las Vegas Blvd Unit 4603,RESALE,,,,,michelle4vegasreos@gmail.com,3,,Electric,4326,Marble,,Valet,,"Central, Electric",
,"$1,449,999",4,6,5124,3241 Montecito Dr,RESALE,Tile,Single Family Residence,No,Septic Tank,,5,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units",315,Laminate,Double Pane Windows,"Detached, Garage, Garage Door Opener, RV Gated, RV Access/Parking","Balcony, Covered, Deck, Patio","Gas, Multiple Heating Units","Block, Full, RV Gate"
,"$1,265,000",5,4,5944,6465 Sugar Knoll Ct,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-388-7722,6,"eatures: Bedroom, Family Room, Gas","Central Air, Electric",,"Carpet, Tile","Double Pane Windows, Plantation Shutters","Attached, Exterior Access Door, Garage, Inside Entrance, RV Gated, RV Access/Parking, RV Paved, Shelves","Covered, Deck, Patio, Porch","Central, Gas","Block, Back Yard, RV Gate, Wrought Iron"
,"$945,000",5,4,4704,7812 Foothill Ash Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,7,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, 2 Units",140,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$715,000",4,4,3016,5501 Lucky Clover St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 339-0137,5,"eatures: Family Room, Gas","Central Air, Electric",,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Shelves",Porch,"Central, Gas","Block, Back Yard"
,"$828,000",5,4,2829,7035 Falabella Ridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-1414,5,,"Central Air, Electric, 2 Units",108,"Carpet, Tile","Double Pane Windows, Drapes, Low Emissivity Windows","Attached, Garage","Covered, Patio, Porch","Gas, Multiple Heating Units","Block, Back Yard"
,"$925,000",2,3,1990,9101 Alta Dr Unit 11,RESALE,,,,,702-769-6274,3,,Electric,2758,,"Blinds, Low Emissivity Windows","Garage, Private",Terrace,Electric,
,"$2,000,000",4,5,3405,6280 Mojave Sky St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-360-1414,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Ceramic Tile, Laminate","Blinds, Drapes, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard, Metal"
,"$897,000",4,3,3489,6210 Matisse Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-256-4900,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",120,"Carpet, Laminate, Tile","Blinds, Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard"
,"$2,500,000",4,4,5696,2000 Bogart Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-1414,6,"eatures: Bedroom, Family Room, Gas, Living Room, Multi-Sided","Central Air, Electric, 2 Units",29,"Carpet, Hardwood","Blinds, Double Pane Windows","Attached Carport, Attached, Epoxy Flooring, Garage, Inside Entrance, Private","Balcony, Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$2,337,900",4,5,4286,504 Royalton Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-540-3775,5,"eatures: Family Room, Gas, Glass Doors, Primary Bedroom, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Plantation Shutters, Skylight(s)","Exterior Access Door, Epoxy Flooring, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard"
,"$745,000",5,4,3545,6342 Bullring Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,"eatures: Gas, Living Room","Central Air, Electric",66,"Linoleum, Tile, Vinyl","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,499,000",4,5,4552,9946 Spider Creek Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-273-8221,5,"eatures: Family Room, Glass Doors, Living Room, Multi-Sided","Central Air, Electric",95,Laminate,Low Emissivity Windows,"Attached, Epoxy Flooring, Garage, Inside Entrance, RV Access/Parking, RV Covered, RV Paved, Shelves","Covered, Patio","Central, Gas","Block, Full"
,"$2,499,999",3,4,3797,54 Glade Hollow Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-809-2330,4,"eatures: Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Tile",Low Emissivity Windows,"Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Brick, Back Yard"
,"$750,000",2,2,2139,4678 Atlantico St,RESALE,Tile,Single Family Residence,,Public Sewer,702-265-5604,3,,"Central Air, Electric",253,"Carpet, Ceramic Tile","Blinds, Double Pane Windows",Garage Door Opener,"Covered, Patio","Central, Gas","Back Yard, Wrought Iron"
,"$925,000",4,3,3901,7550 W Mesa Verde Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(310) 266-8965,7,"eatures: Family Room, Gas","Evaporative Cooling, Electric",51,"Carpet, Laminate, Tile",Blinds,"Attached, Epoxy Flooring, Garage, Garage Door Opener, Shelves",Patio,"Central, Gas","Block, Back Yard"
,"$2,250,000",5,4,4628,22 Carolina Cherry Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,frank@thenapoligroup.com,7,"eatures: Gas, Great Room, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Hardwood","Double Pane Windows, Drapes, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,149,000",4,6,5255,129 S Royal Ascot Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-583-3030,5,"eatures: Gas, Glass Doors, Great Room, Primary Bedroom, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Inside Entrance, Shelves","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$1,200,000",6,6,5473,10234 Renae Nicole Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-338-6073,8,"eatures: Bedroom, Family Room, Gas","Central Air, Electric, 2 Units",95,"Carpet, Ceramic Tile, Linoleum, Tile, Vinyl","Blinds, Drapes","Attached, Garage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$789,000",3,3,2683,11317 Altura Vista Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-605-7482,4,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units", Frequency: Monthly,Carpet,Double Pane Windows,"Attached, Finished Garage, Garage, Garage Door Opener","Covered, Deck, Patio","Gas, Multiple Heating Units","Back Yard, Stucco Wall"
,"$900,000",4,3,2202,6065 Mann St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,(702) 526-9202,4,"eatures: Electric, Family Room","Central Air, Electric, 2 Units",,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Electric","Block, Back Yard, RV Gate"
,"$719,900",3,3,2151,11923 Fisterra Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-557-2248,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Laminate, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$777,000",3,2,2267,1621 Franklin Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-918-5800,4,"eatures: Electric, Living Room","Central Air, Electric",,"Carpet, Tile",Double Pane Windows,,"Covered, Patio","Central, Electric","Block, Back Yard"
,"$875,000",4,3,2704,8371 Las Lunas Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-685-3000,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",72,"Hardwood, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Private, RV Gated, RV Access/Parking","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,534,568",5,5,3978,213 Wilson Ridge St,UNDER CONSTRUCTION,Tile,Single Family Residence,Yes,Public Sewer,702-365-1000,7,"eatures: Electric, Great Room","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio, Porch","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
,"$975,000",5,5,3905,9725 Skye Star Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,frank@franknapoli.com,6,,"Central Air, Electric, 2 Units", Frequency: Quarterly,"Carpet, Tile","Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$799,000",5,4,3381,7535 W Gowan Rd,RESALE,Tile,Single Family Residence,,Septic Tank,702-905-1110,5,"eatures: Electric, Kitchen, Living Room","Central Air, Electric, 2 Units",,"Carpet, Laminate, Linoleum, Vinyl",Blinds,"Attached Carport, Inside Entrance","Covered, Patio","Central, Electric, Multiple Heating Units","Block, Partial"
,"$748,000",4,4,3151,782 Tossa de Mar Ave,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 955-4335,6,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units",90,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows, Tinted Windows","Epoxy Flooring, Finished Garage","Patio, Porch","Gas, Multiple Heating Units, Zoned","Back Yard, Metal"
